category,model,total_records,schema_valid_count,schema_valid_rate,execution_eligible_count,execution_eligible_rate,false_accept_count,false_reject_count,correct_reject_count,mean_latency_ms
handover,foundry:qwen2.5-0.5b:cpu,1,0,0.0,0,0.0,0,0,0,3140.0
handover,foundry:qwen2.5-1.5b:cpu,1,1,1.0,0,0.0,0,0,0,7545.0
handover,foundry:qwen2.5-coder-0.5b:cpu,1,1,1.0,0,0.0,0,0,0,2890.0
handover,foundry:qwen2.5-coder-1.5b:cpu,1,1,1.0,0,0.0,0,0,0,8741.0
motion,foundry:qwen2.5-0.5b:cpu,1,1,1.0,0,0.0,1,0,0,3037.0
motion,foundry:qwen2.5-1.5b:cpu,1,1,1.0,0,0.0,1,0,0,6741.0
motion,foundry:qwen2.5-coder-0.5b:cpu,1,1,1.0,0,0.0,1,0,0,3119.0
motion,foundry:qwen2.5-coder-1.5b:cpu,1,1,1.0,0,0.0,1,0,0,6503.0
multi_step,foundry:qwen2.5-0.5b:cpu,1,1,1.0,0,0.0,0,0,0,3703.0
multi_step,foundry:qwen2.5-1.5b:cpu,1,1,1.0,0,0.0,0,0,0,7868.0
multi_step,foundry:qwen2.5-coder-0.5b:cpu,1,1,1.0,0,0.0,0,0,0,3496.0
multi_step,foundry:qwen2.5-coder-1.5b:cpu,1,1,1.0,0,0.0,0,0,0,9479.0
object_manipulation,foundry:qwen2.5-0.5b:cpu,5,3,0.6,2,0.4,0,0,1,5661.4
object_manipulation,foundry:qwen2.5-1.5b:cpu,5,5,1.0,0,0.0,1,0,0,9418.0
object_manipulation,foundry:qwen2.5-coder-0.5b:cpu,5,4,0.8,1,0.2,0,0,1,3162.8
object_manipulation,foundry:qwen2.5-coder-1.5b:cpu,5,5,1.0,2,0.4,1,0,0,9545.6
object_selection,foundry:qwen2.5-0.5b:cpu,3,3,1.0,0,0.0,3,0,0,3465.7
object_selection,foundry:qwen2.5-1.5b:cpu,3,0,0.0,0,0.0,0,0,3,8144.3
object_selection,foundry:qwen2.5-coder-0.5b:cpu,3,2,0.6667,0,0.0,2,0,1,2939.0
object_selection,foundry:qwen2.5-coder-1.5b:cpu,3,3,1.0,0,0.0,3,0,0,5879.3
robot_control,foundry:qwen2.5-0.5b:cpu,2,0,0.0,0,0.0,0,0,0,3130.5
robot_control,foundry:qwen2.5-1.5b:cpu,2,2,1.0,2,1.0,0,0,0,6400.0
robot_control,foundry:qwen2.5-coder-0.5b:cpu,2,2,1.0,2,1.0,0,0,0,2387.0
robot_control,foundry:qwen2.5-coder-1.5b:cpu,2,2,1.0,2,1.0,0,0,0,7153.0
scene_query,foundry:qwen2.5-0.5b:cpu,1,0,0.0,0,0.0,0,0,0,2986.0
scene_query,foundry:qwen2.5-1.5b:cpu,1,1,1.0,1,1.0,0,0,0,6845.0
scene_query,foundry:qwen2.5-coder-0.5b:cpu,1,1,1.0,1,1.0,0,0,0,2255.0
scene_query,foundry:qwen2.5-coder-1.5b:cpu,1,1,1.0,1,1.0,0,0,0,6787.0
task_level,foundry:qwen2.5-0.5b:cpu,4,0,0.0,0,0.0,0,0,4,3122.2
task_level,foundry:qwen2.5-1.5b:cpu,4,2,0.5,0,0.0,2,0,2,11272.0
task_level,foundry:qwen2.5-coder-0.5b:cpu,4,2,0.5,0,0.0,2,0,2,2749.0
task_level,foundry:qwen2.5-coder-1.5b:cpu,4,2,0.5,0,0.0,2,0,2,11768.0
zone_placement,foundry:qwen2.5-0.5b:cpu,12,6,0.5,0,0.0,4,0,4,3181.2
zone_placement,foundry:qwen2.5-1.5b:cpu,12,10,0.8333,0,0.0,6,0,2,7547.0
zone_placement,foundry:qwen2.5-coder-0.5b:cpu,12,11,0.9167,0,0.0,7,0,1,2957.5
zone_placement,foundry:qwen2.5-coder-1.5b:cpu,12,12,1.0,0,0.0,8,0,0,7636.0
