difficulty,model,total_records,schema_valid_count,schema_valid_rate,execution_eligible_count,execution_eligible_rate,false_accept_count,false_reject_count,correct_reject_count,mean_latency_ms
clear,foundry:qwen2.5-0.5b:cpu,10,5,0.5,2,0.2,0,0,0,3778.6
clear,foundry:qwen2.5-1.5b:cpu,10,10,1.0,3,0.3,0,0,0,7908.4
clear,foundry:qwen2.5-coder-0.5b:cpu,10,10,1.0,4,0.4,0,0,0,2956.4
clear,foundry:qwen2.5-coder-1.5b:cpu,10,10,1.0,5,0.5,0,0,0,8614.3
high,foundry:qwen2.5-0.5b:cpu,10,5,0.5,0,0.0,5,0,5,3174.6
high,foundry:qwen2.5-1.5b:cpu,10,6,0.6,0,0.0,6,0,4,9066.5
high,foundry:qwen2.5-coder-0.5b:cpu,10,7,0.7,0,0.0,7,0,3,2990.8
high,foundry:qwen2.5-coder-1.5b:cpu,10,8,0.8,0,0.0,8,0,2,8602.2
moderate,foundry:qwen2.5-0.5b:cpu,10,4,0.4,0,0.0,3,0,4,3896.2
moderate,foundry:qwen2.5-1.5b:cpu,10,7,0.7,0,0.0,4,0,3,7922.5
moderate,foundry:qwen2.5-coder-0.5b:cpu,10,8,0.8,0,0.0,5,0,2,2817.9
moderate,foundry:qwen2.5-coder-1.5b:cpu,10,10,1.0,0,0.0,7,0,0,7772.1
